Ship Mode,Segment,City,State,Region,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
Standard Class,Corporate,New York City,New York,East,Tables,"Hon 30"" x 60"" Table with Locking Drawer",613.908,3,0.4,-122.7816
Standard Class,Home Office,Waynesboro,Virginia,South,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",127.88,2,0.0,40.9216
Second Class,Consumer,Sacramento,California,West,Chairs,"Global Leather & Oak Executive Chair, Burgundy",120.712,1,0.2,-18.1068
Standard Class,Corporate,Fairfield,Ohio,East,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",532.704,6,0.2,-26.6352
Second Class,Corporate,Aurora,Illinois,Central,Furnishings,Flat Face Poster Frame,60.288,8,0.6,-27.1296
Second Class,Corporate,Aurora,Illinois,Central,Chairs,Global Ergonomic Managers Chair,253.372,2,0.3,-14.4784
Standard Class,Home Office,Lorain,Ohio,East,Furnishings,DAX Solid Wood Frames,54.712,7,0.2,11.6263
Standard Class,Consumer,New York City,New York,East,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",113.92,4,0.0,42.1504
Standard Class,Corporate,Huntsville,Texas,Central,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,956.6648,7,0.32,-153.3456
First Class,Home Office,San Francisco,California,West,Furnishings,DAX Natural Wood-Tone Poster Frame,211.84,8,0.0,76.2624
Standard Class,Consumer,Los Angeles,California,West,Tables,Bevis Boat-Shaped Conference Table,629.064,3,0.2,31.4532
Standard Class,Consumer,Milwaukee,Wisconsin,Central,Chairs,"Global Leather & Oak Executive Chair, Burgundy",754.45,5,0.0,60.356
Standard Class,Home Office,Holyoke,Massachusetts,East,Bookcases,Bush Mission Pointe Library,301.96,2,0.0,60.392
Standard Class,Consumer,Fairfield,Ohio,East,Tables,Hon Rectangular Conference Tables,273.06,2,0.4,-104.673
Standard Class,Corporate,Arlington,Texas,Central,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke",12.544,7,0.6,-9.0944
Standard Class,Corporate,Seattle,Washington,West,Furnishings,3M Hangers With Command Adhesive,10.02,2,0.0,3.034
Standard Class,Consumer,New York City,New York,East,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",366.786,7,0.1,65.2064
Standard Class,Consumer,Farmington,New Mexico,West,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",545.85,8,0.0,114.6285
Second Class,Consumer,Louisville,Colorado,West,Tables,Bevis Rectangular Conference Tables,145.98,2,0.5,-99.2664
Standard Class,Consumer,Tampa,Florida,South,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",10.02,2,0.2,2.1736
Standard Class,Consumer,Passaic,New Jersey,East,Tables,Bevis 36 x 72 Conference Tables,174.286,2,0.3,-19.9184
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Chairs,Hon Olson Stacker Stools,492.835,5,0.3,-14.081
Standard Class,Consumer,Fayetteville,North Carolina,South,Furnishings,Eldon Pizzaz Desk Accessories,14.272,8,0.2,4.2816
Standard Class,Consumer,Fayetteville,North Carolina,South,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,4,0.2,-67.6704
First Class,Consumer,Los Angeles,California,West,Chairs,Global Deluxe High-Back Office Chair in Storm,217.584,2,0.2,-29.9178
Second Class,Corporate,Los Angeles,California,West,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1317.492,3,0.2,-99.1764
Standard Class,Home Office,Seattle,Washington,West,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1137.75,5,0.0,190.4298
Second Class,Consumer,Houston,Texas,Central,Tables,KI Adjustable-Height Table,300.93,5,0.3,-34.392
Standard Class,Consumer,Mishawaka,Indiana,Central,Chairs,"Global Geo Office Task Chair, Gray",647.84,8,0.0,32.392
Second Class,Consumer,San Francisco,California,West,Furnishings,Staple-based wall hangings,77.92,8,0.0,34.2848
Standard Class,Corporate,Chicago,Illinois,Central,Chairs,Global Chrome Stack Chair,47.992,2,0.3,-2.0568
Standard Class,Corporate,Westfield,New Jersey,East,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,129.93,3,0.0,12.993
Second Class,Consumer,Cleveland,Ohio,East,Chairs,High-Back Leather Manager's Chair,181.986,2,0.3,-54.5958
Same Day,Corporate,San Francisco,California,West,Chairs,Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,1317.492,6,0.2,-153.3456
Same Day,Corporate,San Francisco,California,West,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,700.152,3,0.2,78.7671
Standard Class,Corporate,Scottsdale,Arizona,West,Furnishings,12-1/2 Diameter Round Wall Clock,111.888,7,0.2,22.3776
Standard Class,Home Office,Malden,Massachusetts,East,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",173.94,3,0.0,13.9152
Standard Class,Consumer,San Jose,California,West,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,102.833,1,0.15,-6.049
Standard Class,Consumer,Henderson,Kentucky,South,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",821.88,6,0.0,190.4298
Standard Class,Corporate,Houston,Texas,Central,Furnishings,Contemporary Wood/Metal Frame,51.712,8,0.6,-32.32
Standard Class,Consumer,Orem,Utah,West,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,1317.492,7,0.0,140.686
Second Class,Consumer,Bellingham,Washington,West,Tables,Hon 94000 Series Round Tables,1317.492,8,0.0,190.4298
Standard Class,Home Office,Lafayette,Indiana,Central,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,526.45,5,0.0,31.587
Standard Class,Home Office,Alexandria,Virginia,South,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,0.0,30.7818
Standard Class,Home Office,Alexandria,Virginia,South,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,0.0,4.4712
Standard Class,Consumer,New York City,New York,East,Furnishings,"Executive Impressions 14""",22.23,1,0.0,9.7812
Standard Class,Consumer,Wheeling,Illinois,Central,Furnishings,"Executive Impressions 12"" Wall Clock",14.136,2,0.6,-7.7748
Standard Class,Consumer,Wheeling,Illinois,Central,Tables,Bretford CR8500 Series Meeting Room Furniture,601.47,3,0.5,-153.3456
Same Day,Consumer,New York City,New York,East,Bookcases,Sauder Inglewood Library Bookcases,136.784,1,0.2,5.1294
Same Day,Consumer,New York City,New York,East,Furnishings,"Linden 10"" Round Wall Clock, Black",61.12,4,0.0,20.7808
Standard Class,Corporate,Arlington,Texas,Central,Tables,Bretford CR4500 Series Slim Rectangular Table,1218.735,5,0.3,-121.8735
Standard Class,Corporate,Arlington,Texas,Central,Furnishings,"Master Caster Door Stop, Brown",10.02,3,0.6,-3.9624
Standard Class,Corporate,Los Angeles,California,West,Chairs,"Global Stack Chair without Arms, Black",41.568,2,0.2,2.598
Standard Class,Corporate,Los Angeles,California,West,Chairs,Bevis Steel Folding Chairs,230.28,3,0.2,23.028
Standard Class,Consumer,Seattle,Washington,West,Furnishings,24-Hour Round Wall Clock,39.96,2,0.0,17.1828
Standard Class,Consumer,Seattle,Washington,West,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,42.624,2,0.2,4.2624
Standard Class,Consumer,Seattle,Washington,West,Chairs,SAFCO Arco Folding Chair,220.96,1,0.2,24.858
Second Class,Corporate,Fayetteville,North Carolina,South,Furnishings,Stackable Trays,10.02,2,0.2,0.7392
Standard Class,Consumer,New York City,New York,East,Chairs,Safco Contoured Stacking Chairs,858.24,4,0.1,143.04
Second Class,Home Office,Raleigh,North Carolina,South,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",18.624,8,0.2,6.2856
Second Class,Consumer,Tulsa,Oklahoma,Central,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",57.69,3,0.0,23.6529
Second Class,Consumer,Tulsa,Oklahoma,Central,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",821.88,6,0.0,190.4298
Standard Class,Corporate,Hesperia,California,West,Bookcases,Bestar Classic Bookcase,424.9575,5,0.15,19.998
Second Class,Corporate,Provo,Utah,West,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",1292.94,3,0.0,77.5764
Standard Class,Corporate,Gilbert,Arizona,West,Chairs,SAFCO Arco Folding Chair,883.84,4,0.2,99.432
First Class,Consumer,Memphis,Tennessee,South,Tables,Bevis 44 x 96 Conference Tables,370.62,3,0.4,-142.071
Standard Class,Home Office,Los Angeles,California,West,Chairs,"Global Deluxe Stacking Chair, Gray",40.784,1,0.2,4.5882
Second Class,Corporate,Lowell,Massachusetts,East,Chairs,Global Italian Leather Office Chair,785.88,6,0.0,190.4298
Standard Class,Corporate,Seattle,Washington,West,Furnishings,"Contract Clock, 14"", Brown",109.9,5,0.0,37.366
Standard Class,Consumer,Hialeah,Florida,South,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",15.384,1,0.2,4.0383
Standard Class,Home Office,Jacksonville,Florida,South,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",30.768,2,0.2,8.0766
Standard Class,Home Office,Jacksonville,Florida,South,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",122.352,3,0.2,15.294
Standard Class,Consumer,Los Angeles,California,West,Furnishings,"Computer Room Manger, 14""",227.36,7,0.0,81.8496
First Class,Corporate,Lakewood,Ohio,East,Furnishings,Nu-Dell Leatherette Frames,45.888,4,0.2,9.1776
Second Class,Consumer,Houston,Texas,Central,Furnishings,12-1/2 Diameter Round Wall Clock,23.976,3,0.6,-14.3856
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Tables,Bevis Rectangular Conference Tables,350.352,4,0.4,-140.1408
Standard Class,Consumer,Seattle,Washington,West,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",107.53,1,0.0,21.506
Standard Class,Consumer,Newark,Delaware,East,Bookcases,Bestar Classic Bookcase,299.97,3,0.0,56.9943
Standard Class,Consumer,San Diego,California,West,Furnishings,"Executive Impressions 12"" Wall Clock",35.34,2,0.0,13.4292
Second Class,Corporate,San Francisco,California,West,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",257.64,6,0.0,100.4796
Standard Class,Consumer,Franklin,Massachusetts,East,Tables,"Bevis Traditional Conference Table Top, Plinth Base",700.056,3,0.3,-130.0104
Standard Class,Consumer,Seattle,Washington,West,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",585.552,3,0.2,73.194
Standard Class,Consumer,Los Angeles,California,West,Chairs,Hon Olson Stacker Stools,225.296,2,0.2,22.5296
Standard Class,Home Office,Columbus,Georgia,South,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",76.92,4,0.0,31.5372
First Class,Consumer,Fort Lauderdale,Florida,South,Furnishings,Staple-based wall hangings,19.104,3,0.2,5.7312
Second Class,Consumer,Bakersfield,California,West,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",195.466,2,0.15,-13.7976
Standard Class,Corporate,Pompano Beach,Florida,South,Furnishings,3M Hangers With Command Adhesive,23.68,8,0.2,6.216
First Class,Home Office,Los Angeles,California,West,Chairs,Hon Every-Day Series Multi-Task Chairs,601.536,4,0.2,0.0
Standard Class,Corporate,Corpus Christi,Texas,Central,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",58.36,5,0.6,-24.803
Standard Class,Corporate,Corpus Christi,Texas,Central,Furnishings,12-1/2 Diameter Round Wall Clock,39.96,5,0.6,-23.976
Standard Class,Corporate,Redondo Beach,California,West,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,308.499,3,0.15,-18.147
Standard Class,Consumer,Las Cruces,New Mexico,West,Furnishings,9-3/4 Diameter Round Wall Clock,41.37,3,0.0,17.3754
Standard Class,Consumer,El Paso,Texas,Central,Chairs,"Metal Folding Chairs, Beige, 4/Carton",47.516,2,0.3,-2.0364
Second Class,Consumer,Seattle,Washington,West,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",704.9,5,0.0,56.392
Second Class,Consumer,Seattle,Washington,West,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,561.568,2,0.2,28.0784
Second Class,Home Office,Milwaukee,Wisconsin,Central,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",185.58,6,0.0,76.0878
Second Class,Home Office,Milwaukee,Wisconsin,Central,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",214.11,3,0.0,36.3987
Second Class,Home Office,Milwaukee,Wisconsin,Central,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",653.55,3,0.0,111.1035
Standard Class,Home Office,Franklin,Massachusetts,East,Chairs,"Global Value Steno Chair, Gray",60.74,1,0.0,15.185
Standard Class,Home Office,Franklin,Massachusetts,East,Furnishings,Deflect-o Glass Clear Studded Chair Mats,124.36,2,0.0,27.3592
First Class,Consumer,Encinitas,California,West,Tables,Bevis 36 x 72 Conference Tables,298.776,3,0.2,7.4694
Standard Class,Home Office,Houston,Texas,Central,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,300.5328,2,0.32,-97.2312
Standard Class,Home Office,Chesapeake,Virginia,South,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,1139.92,4,0.0,190.4298
Standard Class,Corporate,Woodstock,Illinois,Central,Chairs,"Global Manager's Adjustable Task Chair, Storm",845.488,8,0.3,-12.0784
Standard Class,Corporate,Roswell,Georgia,South,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",56.28,6,0.0,15.7584
Second Class,Consumer,Oceanside,New York,East,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",14.98,1,0.0,6.8908
Second Class,Consumer,Oceanside,New York,East,Furnishings,"Master Caster Door Stop, Brown",20.32,4,0.0,6.9088
First Class,Corporate,San Diego,California,West,Chairs,Global Troy Executive Leather Low-Back Tilter,1317.492,4,0.2,100.196
Second Class,Consumer,Fayetteville,North Carolina,South,Chairs,Hon Olson Stacker Stools,225.296,2,0.2,22.5296
Standard Class,Consumer,Atlanta,Georgia,South,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,1317.492,8,0.0,190.4298
Standard Class,Consumer,Saint Petersburg,Florida,South,Furnishings,Dana Swing-Arm Lamps,17.088,2,0.2,1.068
Standard Class,Corporate,Tucson,Arizona,West,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,314.352,3,0.2,-35.3646
Second Class,Consumer,San Diego,California,West,Chairs,Global Super Steno Chair,153.568,2,0.2,-5.7588
Second Class,Consumer,San Diego,California,West,Chairs,Global Ergonomic Managers Chair,1013.488,7,0.2,76.0116
Second Class,Consumer,San Francisco,California,West,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",10.02,4,0.0,2.2272
Standard Class,Consumer,Tempe,Arizona,West,Chairs,Global Deluxe Steno Chair,307.92,5,0.2,-34.641
Second Class,Consumer,Lake Charles,Louisiana,South,Chairs,"Global Stack Chair without Arms, Black",51.96,2,0.0,12.99
Standard Class,Corporate,Rochester,New York,East,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",69.08,8,0.0,29.0136
Standard Class,Consumer,Houston,Texas,Central,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,408.422,2,0.3,-5.8346
Standard Class,Corporate,Highland Park,Illinois,Central,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,539.658,3,0.3,-7.7094
Same Day,Corporate,Philadelphia,Pennsylvania,East,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,14.368,2,0.2,3.9512
Same Day,Corporate,Philadelphia,Pennsylvania,East,Furnishings,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",70.448,7,0.2,12.3284
First Class,Consumer,Watertown,New York,East,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",70.71,1,0.0,4.9497
Second Class,Consumer,Columbus,Georgia,South,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",18.84,3,0.0,7.9128
Standard Class,Home Office,Saginaw,Michigan,Central,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",19.76,4,0.0,8.2992
Same Day,Consumer,San Francisco,California,West,Chairs,Global Ergonomic Managers Chair,144.784,1,0.2,10.8588
Standard Class,Corporate,Milwaukee,Wisconsin,Central,Chairs,Global Highback Leather Tilter in Burgundy,90.99,1,0.0,14.5584
Standard Class,Corporate,Milwaukee,Wisconsin,Central,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",1317.492,7,0.0,190.4298
Standard Class,Corporate,Milwaukee,Wisconsin,Central,Chairs,"Global High-Back Leather Tilter, Burgundy",368.97,3,0.0,40.5867
Standard Class,Consumer,Los Angeles,California,West,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",18.7,1,0.0,7.106
First Class,Consumer,San Francisco,California,West,Furnishings,Advantus Panel Wall Acrylic Frame,38.29,7,0.0,16.4647
Standard Class,Home Office,San Diego,California,West,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",26.25,3,0.0,11.025
Same Day,Home Office,Glendale,Arizona,West,Chairs,Harbour Creations 67200 Series Stacking Chairs,113.888,2,0.2,9.9652
Same Day,Home Office,Glendale,Arizona,West,Furnishings,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",113.568,2,0.2,-5.6784
Standard Class,Home Office,Watertown,New York,East,Chairs,"Situations Contoured Folding Chairs, 4/Set",191.646,3,0.1,31.941
Second Class,Corporate,Oceanside,California,West,Chairs,"Global Deluxe Stacking Chair, Gray",81.568,2,0.2,9.1764
Second Class,Corporate,Oceanside,California,West,Chairs,"Global Value Steno Chair, Gray",97.184,2,0.2,6.074
Second Class,Corporate,Oceanside,California,West,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",18.96,2,0.0,7.584
Standard Class,Consumer,Skokie,Illinois,Central,Furnishings,DAX Wood Document Frame,32.952,6,0.6,-19.7712
Second Class,Consumer,Fayetteville,North Carolina,South,Furnishings,"Executive Impressions 12"" Wall Clock",28.272,2,0.2,6.3612
Standard Class,Consumer,Allen,Texas,Central,Tables,Chromcraft Round Conference Tables,244.006,2,0.3,-31.3722
Same Day,Corporate,Philadelphia,Pennsylvania,East,Chairs,"Safco Chair Connectors, 6/Carton",188.552,7,0.3,-2.6936
Second Class,Consumer,Mount Pleasant,South Carolina,South,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0.0,87.3504
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",43.296,2,0.2,4.3296
Standard Class,Consumer,Seattle,Washington,West,Chairs,"Safco Chair Connectors, 6/Carton",123.136,4,0.2,13.8528
Second Class,Consumer,Springfield,Oregon,West,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",275.49,1,0.5,-153.3456
Standard Class,Home Office,Columbus,Georgia,South,Furnishings,Eldon Expressions Mahogany Wood Desk Collection,24.96,4,0.0,6.24
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,Stacking Trays by OIC,10.02,1,0.2,0.6474
First Class,Consumer,Murray,Kentucky,South,Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock",191.82,3,0.0,74.8098
Standard Class,Home Office,New York City,New York,East,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",344.22,2,0.4,-103.266
Standard Class,Home Office,Pharr,Texas,Central,Furnishings,Flat Face Poster Frame,22.608,3,0.6,-10.1736
Standard Class,Consumer,West Jordan,Utah,West,Furnishings,"Executive Impressions 14"" Contract Wall Clock",66.69,3,0.0,22.0077
Standard Class,Consumer,Brownsville,Texas,Central,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",327.7328,2,0.32,-14.4588
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",254.352,3,0.2,0.0
Standard Class,Consumer,Chesapeake,Virginia,South,Chairs,Hon Valutask Swivel Chairs,504.9,5,0.0,80.784
Standard Class,Corporate,Lincoln Park,Michigan,Central,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,194.32,4,0.0,31.0912
Standard Class,Consumer,Gresham,Oregon,West,Chairs,Novimex Fabric Task Chair,195.136,4,0.2,-12.196
Standard Class,Consumer,Monroe,Louisiana,South,Furnishings,DAX Clear Channel Poster Frame,29.16,2,0.0,10.7892
Standard Class,Corporate,Pasadena,California,West,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",171.288,3,0.2,-6.4233
Standard Class,Consumer,Chattanooga,Tennessee,South,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",16.72,5,0.2,3.344
Same Day,Home Office,Long Beach,California,West,Chairs,Hon Pagoda Stacking Chairs,1317.492,8,0.2,190.4298
First Class,Home Office,Columbus,Georgia,South,Tables,Bevis 44 x 96 Conference Tables,411.8,2,0.0,70.006
Standard Class,Home Office,Meridian,Idaho,West,Furnishings,36X48 HARDFLOOR CHAIRMAT,41.96,2,0.0,2.9372
Second Class,Corporate,San Francisco,California,West,Furnishings,"Linden 10"" Round Wall Clock, Black",30.56,2,0.0,10.3904
Second Class,Corporate,San Francisco,California,West,Tables,Anderson Hickey Conga Table Tops & Accessories,24.368,2,0.2,-3.3506
Standard Class,Corporate,Newark,Delaware,East,Furnishings,Eldon Econocleat Chair Mats for Low Pile Carpets,124.41,3,0.0,14.9292
Standard Class,Consumer,Los Angeles,California,West,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",120.666,2,0.15,18.4548
Standard Class,Home Office,Dallas,Texas,Central,Furnishings,Westinghouse Clip-On Gooseneck Lamps,16.74,5,0.6,-14.229
Standard Class,Home Office,Dallas,Texas,Central,Chairs,HON 5400 Series Task Chairs for Big and Tall,981.372,2,0.3,-140.196
Standard Class,Consumer,Houston,Texas,Central,Furnishings,Stacking Trays by OIC,10.02,2,0.6,-2.6892
Second Class,Home Office,Henderson,Kentucky,South,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,61.0,5,0.0,25.62
Standard Class,Corporate,Fort Worth,Texas,Central,Bookcases,Sauder Barrister Bookcases,220.2656,4,0.32,-42.1096
Standard Class,Consumer,New York City,New York,East,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",242.352,3,0.2,9.0882
Second Class,Corporate,Providence,Rhode Island,East,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",220.98,1,0.0,50.8254
Standard Class,Consumer,Seattle,Washington,West,Chairs,Office Star Flex Back Scooter Chair with White Frame,532.704,6,0.2,-39.9528
First Class,Corporate,Lakeland,Florida,South,Chairs,Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,1123.92,5,0.2,-153.3456
First Class,Corporate,Lakeland,Florida,South,Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",48.672,3,0.2,7.3008
First Class,Home Office,Los Angeles,California,West,Furnishings,"Executive Impressions 14"" Contract Wall Clock",44.46,2,0.0,14.6718
First Class,Home Office,Los Angeles,California,West,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,241.568,2,0.2,18.1176
First Class,Corporate,Oceanside,New York,East,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,13.28,2,0.0,6.3744
Standard Class,Home Office,Dallas,Texas,Central,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",22.848,3,0.6,-17.7072
Standard Class,Corporate,Austin,Texas,Central,Chairs,"Situations Contoured Folding Chairs, 4/Set",347.802,7,0.3,-24.843
Second Class,Corporate,Seattle,Washington,West,Chairs,"Global Leather and Oak Executive Chair, Black",963.136,4,0.2,108.3528
First Class,Consumer,Newark,Ohio,East,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",262.864,7,0.2,69.0018
Standard Class,Corporate,New York City,New York,East,Tables,Chromcraft Rectangular Conference Tables,284.364,2,0.4,-75.8304
First Class,Consumer,Lansing,Michigan,Central,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,67.0,5,0.0,32.16
Standard Class,Corporate,Tallahassee,Florida,South,Chairs,Novimex Fabric Task Chair,390.272,8,0.2,-24.392
Standard Class,Consumer,Chicago,Illinois,Central,Chairs,"Global Airflow Leather Mesh Back Chair, Black",528.43,5,0.3,0.0
Standard Class,Consumer,Fort Collins,Colorado,West,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",180.588,2,0.6,-153.3456
Standard Class,Corporate,New York City,New York,East,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",20.94,3,0.0,6.0726
Standard Class,Corporate,New York City,New York,East,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",58.68,2,0.0,18.1908
Second Class,Consumer,Akron,Ohio,East,Furnishings,Deflect-o Glass Clear Studded Chair Mats,149.232,3,0.2,3.7308
Standard Class,Consumer,San Diego,California,West,Furnishings,Luxo Economy Swing Arm Lamp,39.88,2,0.0,11.1664
Standard Class,Consumer,San Diego,California,West,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",53.2,5,0.0,14.896
Second Class,Consumer,New York City,New York,East,Furnishings,"Seth Thomas 12"" Clock w/ Goldtone Case",114.9,5,0.0,39.066
Same Day,Consumer,Fairfield,Connecticut,East,Tables,"Bevis Round Bullnose 29"" High Table Top",181.797,1,0.3,-15.5826
Standard Class,Corporate,Houston,Texas,Central,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",318.43,5,0.3,-77.333
Standard Class,Corporate,Houston,Texas,Central,Furnishings,Eldon Wave Desk Accessories,10.02,3,0.6,-2.8272
Standard Class,Consumer,Grand Prairie,Texas,Central,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,317.058,3,0.3,-18.1176
Standard Class,Home Office,Seattle,Washington,West,Chairs,Harbour Creations 67200 Series Stacking Chairs,113.888,2,0.2,9.9652
First Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,"Eldon Executive Woodline II Desk Accessories, Mahogany",60.312,3,0.2,5.2773
Second Class,Corporate,Franklin,Tennessee,South,Tables,Hon 61000 Series Interactive Training Tables,79.974,3,0.4,-29.3238
Standard Class,Consumer,Los Angeles,California,West,Chairs,"Global Deluxe Stacking Chair, Gray",203.92,5,0.2,22.941
Standard Class,Corporate,New York City,New York,East,Furnishings,"Master Caster Door Stop, Brown",15.24,3,0.0,5.1816
Standard Class,Consumer,San Diego,California,West,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",10.02,2,0.0,1.1136
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,"Eldon Executive Woodline II Desk Accessories, Mahogany",60.312,3,0.2,5.2773
Second Class,Corporate,Gulfport,Mississippi,South,Furnishings,"Eldon Image Series Desk Accessories, Ebony",86.45,7,0.0,38.038
Standard Class,Consumer,San Diego,California,West,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,603.92,5,0.2,45.294
Standard Class,Consumer,Oceanside,New York,East,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,271.764,2,0.1,48.3136
